subvolume_size,patch_size,n_layers,d_model,d_ff,n_heads,d_encoder,lr,modelsize,completed,msg,loss
128,8,16,8,256,8,128,0.001,0.724090576171875,False,Not Completed,NA
64,32,32,8,64,8,256,0.0001,1.362030029296875,False,Not Completed,NA
128,32,256,64,256,8,16,0.0001,105.72970581054688,False,Not Completed,NA
128,64,128,256,64,64,16,0.001,547.0480651855469,False,Not Completed,NA
128,16,256,256,32,64,16,1e-05,553.7902526855469,False,Not Completed,NA
64,8,256,256,16,8,8,0.001,534.2511901855469,False,Not Completed,NA
32,2,8,16,32,16,8,0.0001,0.403045654296875,False,Not Completed,NA
128,16,32,32,16,32,64,1e-05,1.929901123046875,False,Not Completed,NA
64,4,256,256,16,32,128,5e-05,537.4308776855469,False,Not Completed,NA
128,16,128,64,16,32,256,0.0001,19.850799560546875,False,Not Completed,NA
64,32,64,64,128,64,8,0.001,24.432830810546875,False,Not Completed,NA
128,16,64,64,64,16,64,0.0001,13.538299560546875,False,Not Completed,NA
64,4,64,64,32,32,32,0.001,11.405487060546875,False,Not Completed,NA
64,16,16,128,128,32,16,0.001,14.426971435546875,False,Not Completed,NA
64,4,64,64,256,8,16,0.0001,25.510955810546875,False,Not Completed,NA
32,8,8,8,32,8,256,0.0001,0.086883544921875,False,Not Completed,NA
64,4,256,128,32,64,256,0.0001,148.70040893554688,False,Not Completed,NA
64,8,64,32,256,8,8,0.0001,10.426971435546875,False,Not Completed,NA
128,32,8,128,32,8,8,1e-05,20.839080810546875,False,Not Completed,NA
128,32,8,128,256,16,256,0.001,24.473846435546875,False,Not Completed,NA
128,32,64,32,128,16,16,5e-05,10.248260498046875,False,Not Completed,NA
128,64,128,16,16,8,8,5e-05,17.673553466796875,False,Not Completed,NA
32,16,128,32,128,32,128,0.001,12.958221435546875,False,Not Completed,NA
32,2,256,256,8,8,8,0.001,529.2433776855469,False,Not Completed,NA
128,16,8,32,32,8,32,0.0001,0.996307373046875,True,Completed,1689.554332414642
128,32,8,32,8,32,16,5e-05,4.344451904296875,False,Not Completed,NA
128,16,8,32,128,32,64,1e-05,1.381072998046875,False,Not Completed,NA
64,32,32,64,16,64,128,0.001,12.762908935546875,False,Not Completed,NA
64,32,64,128,32,8,8,0.001,52.817596435546875,False,Not Completed,NA
32,16,256,16,8,8,8,0.001,3.064178466796875,False,Not Completed,NA
32,16,64,16,128,8,256,5e-05,2.915252685546875,False,Not Completed,NA
128,4,32,256,128,16,256,0.0001,113.61837768554688,False,Not Completed,NA
128,8,128,256,32,32,32,0.0001,279.5246276855469,False,Not Completed,NA
64,4,256,64,64,8,256,0.001,50.413299560546875,False,Not Completed,NA
32,4,256,256,16,32,64,1e-05,533.8683776855469,False,Not Completed,NA
32,8,32,32,8,8,8,1e-05,1.303924560546875,False,Not Completed,NA
64,8,32,128,128,32,64,0.0001,25.075408935546875,False,Not Completed,NA
128,8,16,128,8,8,128,0.001,10.935760498046875,False,Not Completed,NA
32,8,8,128,8,32,64,5e-05,4.739959716796875,False,Not Completed,NA
64,32,16,32,16,8,64,5e-05,4.706268310546875,False,Not Completed,NA
32,8,128,64,8,16,8,5e-05,17.798065185546875,False,Not Completed,NA
128,16,16,64,16,32,256,1e-05,3.594940185546875,False,Not Completed,NA
64,8,8,16,32,16,64,1e-05,0.218475341796875,False,Not Completed,NA
64,2,32,256,128,16,32,0.0001,113.34494018554688,False,Not Completed,NA
128,64,256,128,32,64,128,0.0001,274.6105651855469,False,Not Completed,NA
32,8,256,256,16,16,8,0.0001,533.8136901855469,False,Not Completed,NA
64,2,128,128,16,64,128,1e-05,85.43869018554688,False,Not Completed,NA
32,2,32,16,32,16,32,0.0001,0.811737060546875,False,Not Completed,NA
128,16,8,128,128,32,8,0.0001,8.563690185546875,False,Not Completed,NA
64,8,64,16,64,16,256,0.001,1.696014404296875,False,Not Completed,NA
128,8,8,16,16,8,256,0.001,0.416717529296875,False,Not Completed,NA
128,16,8,16,32,16,32,0.0001,0.435272216796875,False,Not Completed,NA
64,16,8,128,8,32,8,0.001,6.462615966796875,False,Not Completed,NA
32,2,128,256,128,32,32,0.0001,327.1261901855469,False,Not Completed,NA
128,64,32,256,16,8,128,1e-05,323.4113464355469,False,Not Completed,NA
32,2,16,128,128,8,32,0.0001,14.407440185546875,False,Not Completed,NA
128,16,256,256,32,32,128,1e-05,553.8996276855469,False,Not Completed,NA
128,8,128,128,32,16,64,5e-05,75.66915893554688,False,Not Completed,NA
64,2,256,128,16,64,256,0.0001,154.64181518554688,False,Not Completed,NA
128,8,128,16,64,8,64,5e-05,3.504608154296875,False,Not Completed,NA
32,1,128,128,64,16,8,1e-05,97.42355346679688,False,Not Completed,NA
64,16,128,64,256,64,16,0.0001,49.917205810546875,False,Not Completed,NA
64,16,8,64,8,16,8,0.0001,2.200897216796875,False,Not Completed,NA
64,4,256,256,64,16,16,5e-05,585.4152526855469,False,Not Completed,NA
64,16,32,128,256,16,16,0.001,34.614471435546875,False,Not Completed,NA
32,4,8,128,16,64,32,0.0001,4.849822998046875,False,Not Completed,NA
128,16,8,256,64,16,8,0.001,23.364471435546875,False,Not Completed,NA
32,2,64,64,16,16,64,0.0001,10.391815185546875,False,Not Completed,NA
128,64,64,256,32,16,16,0.0001,393.8761901855469,False,Not Completed,NA
128,16,8,32,128,16,64,5e-05,1.381072998046875,False,Not Completed,NA
64,16,32,64,128,64,128,0.0001,9.303924560546875,False,Not Completed,NA
128,64,64,64,16,32,16,1e-05,73.38009643554688,False,Not Completed,NA
32,4,64,16,8,8,64,1e-05,0.754608154296875,False,Not Completed,NA
128,16,256,32,8,8,128,0.0001,10.191619873046875,False,Not Completed,NA
128,64,8,128,64,32,8,0.0001,133.31369018554688,False,Not Completed,NA
128,16,128,256,16,8,8,5e-05,271.4855651855469,False,Not Completed,NA
128,8,32,64,128,16,8,1e-05,9.384002685546875,False,Not Completed,NA
32,4,8,64,16,64,32,0.001,1.394744873046875,False,Not Completed,NA
64,4,64,256,8,32,256,1e-05,136.15353393554688,False,Not Completed,NA
64,2,64,128,256,32,256,1e-05,81.04806518554688,False,Not Completed,NA
128,8,64,32,32,32,256,1e-05,3.785369873046875,False,Not Completed,NA
64,4,128,8,8,8,256,1e-05,0.596160888671875,False,Not Completed,NA
32,8,8,8,32,8,256,5e-05,0.086883544921875,False,Not Completed,NA
32,1,64,128,16,64,8,0.001,50.806365966796875,False,Not Completed,NA
32,16,32,256,64,8,64,5e-05,77.36056518554688,False,Not Completed,NA
32,1,32,64,8,64,32,5e-05,12.485809326171875,False,Not Completed,NA
128,4,64,128,8,8,32,0.0001,49.844940185546875,False,Not Completed,NA
32,8,256,64,128,64,32,1e-05,65.60861206054688,False,Not Completed,NA
64,16,256,32,16,32,256,1e-05,11.168182373046875,False,Not Completed,NA
128,4,128,64,128,64,32,1e-05,40.796112060546875,False,Not Completed,NA
64,2,8,256,32,32,64,1e-05,49.925018310546875,False,Not Completed,NA
32,4,8,64,128,64,32,5e-05,2.276580810546875,False,Not Completed,NA
64,8,8,128,8,8,32,0.001,4.943084716796875,False,Not Completed,NA
32,16,128,32,128,16,64,5e-05,12.950408935546875,False,Not Completed,NA
32,2,64,128,16,16,8,5e-05,36.809783935546875,False,Not Completed,NA
64,8,16,128,128,64,16,0.001,12.895721435546875,False,Not Completed,NA
64,4,128,128,256,32,64,1e-05,131.66915893554688,False,Not Completed,NA
32,1,64,64,16,16,16,5e-05,17.378387451171875,False,Not Completed,NA
32,1,16,128,8,16,8,1e-05,24.627655029296875,False,Not Completed,NA
64,4,128,32,8,8,128,0.0001,5.347869873046875,False,Not Completed,NA
64,4,64,256,32,16,64,0.0001,141.97775268554688,False,Not Completed,NA
64,4,128,32,16,8,16,5e-05,5.842010498046875,False,Not Completed,NA
128,8,256,128,8,64,8,5e-05,136.75119018554688,False,Not Completed,NA
64,8,256,256,32,8,256,1e-05,550.5246276855469,False,Not Completed,NA
32,16,32,64,16,32,32,0.0001,5.739471435546875,False,Not Completed,NA
32,16,256,64,32,32,16,0.001,42.278533935546875,False,Not Completed,NA
64,4,128,32,256,16,256,0.001,21.105682373046875,False,Not Completed,NA
64,4,128,64,8,64,16,0.0001,18.675018310546875,False,Not Completed,NA
64,8,256,32,16,8,128,5e-05,10.769744873046875,False,Not Completed,NA
32,1,16,32,64,16,128,0.001,5.094085693359375,False,Not Completed,NA
64,4,16,64,16,16,256,5e-05,3.485565185546875,False,Not Completed,NA
128,16,32,128,16,64,256,1e-05,19.891815185546875,False,Not Completed,NA
128,64,256,32,128,32,8,1e-05,56.849822998046875,False,Not Completed,NA
64,4,32,128,8,16,8,0.0001,19.050018310546875,False,Not Completed,NA
128,32,128,16,128,8,8,5e-05,7.286346435546875,False,Not Completed,NA
128,64,16,16,32,16,32,0.001,16.290252685546875,False,Not Completed,NA
64,8,128,16,32,8,8,0.0001,2.251190185546875,False,Not Completed,NA
32,1,256,128,32,64,8,0.0001,162.54855346679688,False,Not Completed,NA
64,8,128,256,256,32,8,0.0001,388.2199401855469,False,Not Completed,NA
128,16,16,128,8,8,16,0.001,10.881072998046875,False,Not Completed,NA
32,2,8,128,128,8,256,5e-05,8.438690185546875,False,Not Completed,NA
64,16,64,128,256,64,64,0.001,66.98165893554688,False,Not Completed,NA
32,2,16,256,8,64,64,0.001,37.564666748046875,False,Not Completed,NA
64,2,32,128,128,64,256,5e-05,40.673065185546875,False,Not Completed,NA
128,4,128,64,128,64,32,1e-05,40.796112060546875,False,Not Completed,NA
32,1,128,64,64,32,16,1e-05,32.714324951171875,False,Not Completed,NA
32,1,8,256,16,32,8,0.001,49.362518310546875,False,Not Completed,NA
128,4,128,128,32,32,128,1e-05,89.48165893554688,False,Not Completed,NA
32,4,64,256,8,64,8,5e-05,132.41134643554688,False,Not Completed,NA
64,4,32,32,16,32,128,0.0001,1.883026123046875,False,Not Completed,NA
32,8,32,256,16,8,8,5e-05,67.84884643554688,False,Not Completed,NA
32,1,8,128,128,8,32,5e-05,22.325897216796875,False,Not Completed,NA
64,2,256,32,16,32,16,5e-05,14.632049560546875,False,Not Completed,NA
32,16,8,64,8,32,32,1e-05,2.193084716796875,False,Not Completed,NA
32,1,64,128,8,64,8,1e-05,49.802459716796875,False,Not Completed,NA
64,8,16,256,8,8,32,0.0001,34.525604248046875,False,Not Completed,NA
64,4,256,32,128,16,64,5e-05,25.363494873046875,False,Not Completed,NA
32,8,128,128,16,16,256,5e-05,69.77853393554688,False,Not Completed,NA
32,4,128,16,16,16,256,0.0001,1.723358154296875,False,Not Completed,NA
64,8,128,256,128,64,8,1e-05,324.0949401855469,False,Not Completed,NA
128,16,32,16,256,8,128,1e-05,2.653045654296875,False,Not Completed,NA
128,16,16,256,256,32,16,0.0001,53.540252685546875,False,Not Completed,NA
128,64,256,128,256,8,64,5e-05,387.0168151855469,False,Not Completed,NA
128,4,16,128,256,64,256,0.0001,32.559783935546875,False,Not Completed,NA
128,4,8,32,8,16,128,5e-05,4.358123779296875,False,Not Completed,NA
32,16,8,128,128,16,32,0.0001,8.329315185546875,False,Not Completed,NA
32,1,64,32,16,32,256,0.0001,6.715179443359375,False,Not Completed,NA
128,32,128,64,256,16,32,0.001,56.921112060546875,False,Not Completed,NA
128,64,16,128,16,64,16,0.0001,136.88595581054688,False,Not Completed,NA
128,4,256,64,32,8,8,5e-05,49.290252685546875,False,Not Completed,NA
64,8,16,64,256,64,16,0.0001,6.440643310546875,False,Not Completed,NA
32,1,8,256,128,16,16,5e-05,52.877166748046875,False,Not Completed,NA
64,2,32,256,8,8,8,0.001,98.29220581054688,False,Not Completed,NA
64,8,16,64,64,8,128,0.0001,3.444549560546875,False,Not Completed,NA
64,16,8,128,8,32,256,0.0001,6.583709716796875,False,Not Completed,NA
32,8,64,128,256,16,256,0.0001,65.32540893554688,False,Not Completed,NA
128,4,256,32,128,32,8,0.001,28.856658935546875,False,Not Completed,NA
64,2,256,32,16,8,64,1e-05,14.637908935546875,False,Not Completed,NA
64,16,256,8,256,8,128,1e-05,9.279754638671875,False,Not Completed,NA
64,32,128,256,64,16,8,5e-05,323.0402526855469,False,Not Completed,NA
32,8,64,32,256,8,256,0.001,10.402557373046875,False,Not Completed,NA
128,64,256,16,128,8,64,0.0001,26.551971435546875,False,Not Completed,NA
128,64,64,64,16,8,256,1e-05,73.43869018554688,False,Not Completed,NA
32,1,128,256,32,16,128,5e-05,307.1193542480469,False,Not Completed,NA
64,2,256,128,128,8,8,0.0001,210.73947143554688,False,Not Completed,NA
32,2,128,16,256,16,32,0.001,9.659393310546875,False,Not Completed,NA
64,16,64,32,128,32,256,5e-05,6.777557373046875,False,Not Completed,NA
32,1,128,64,16,64,128,1e-05,26.694793701171875,False,Not Completed,NA
64,32,16,128,64,32,256,0.001,26.509002685546875,False,Not Completed,NA
64,16,128,32,256,32,128,1e-05,21.090057373046875,False,Not Completed,NA
64,32,256,32,32,16,16,0.001,16.663299560546875,False,Not Completed,NA
32,1,128,256,64,16,32,0.0001,323.0568542480469,False,Not Completed,NA
64,16,16,256,256,32,64,1e-05,53.149627685546875,False,Not Completed,NA
128,32,256,32,256,16,8,5e-05,45.106658935546875,False,Not Completed,NA
64,4,64,256,8,64,64,5e-05,135.96603393554688,False,Not Completed,NA
32,1,16,64,16,8,32,0.001,10.415496826171875,False,Not Completed,NA
64,4,64,16,32,8,128,0.0001,1.363983154296875,False,Not Completed,NA
64,32,8,64,8,32,32,1e-05,9.193084716796875,False,Not Completed,NA
32,8,128,64,128,16,32,1e-05,32.921112060546875,False,Not Completed,NA
64,4,16,256,64,32,8,1e-05,41.071502685546875,False,Not Completed,NA
